컷,장면,장면제목,시작(초),끝(초),길이(초),스타일,대본,자막,화면구성,이미지프롬프트,사용이미지
87,8,대국 비교,582.34,588.96,6.62,I,미국은 태평양과 대서양이 있지만 차로 닷새를 달려야 반대편 바다를 봐요.,닷새,미국 횡단 경로 애니메이션,"Flat map of the United States with a long dotted road route stretching from the Pacific coast to the Atlantic coast, tiny car icon",
88,8,대국 비교,588.96,593.85,4.88,P,러시아는 해안선은 길지만 대부분 일 년의 절반이 얼어 있어요.,결빙,북극해 결빙 해안 실사,"Aerial view of a frozen Arctic coastline, cracked white sea ice meeting gray tundra, icy blue tones, vast and desolate",
89,8,대국 비교,593.85,597.42,3.58,I,중국은 바다가 동쪽 한 면에만 있어요.,한 면,중국 지도 동쪽 해안만 하이라이트,"Flat map of China with only its eastern coastline glowing, the vast interior dim",
90,8,대국 비교,597.42,605.35,7.92,P,우리는 아침에 동해에서 해 보고 저녁에 서해에서 해 지는 걸 봐요. 강릉에서 인천까지 세 시간이에요.,"아침 동해, 저녁 서해, 3시간","좌우 분할, 동해 일출과 서해 일몰","Diptych, left panel a fiery sunrise over the calm East Sea horizon with rocky shore, right panel a soft orange sunset over West Sea mud flats, matching horizon lines",
91,8,대국 비교,605.35,611.22,5.87,P,"이게 그 미국 친구가 말한 거였어요. 없는 게 아니라, 다 모여 있는 거.",다 모여 있는 거,카페 지도 장면 짧은 회상,"Paper map of South Korea on a wooden table with small pebbles placed on it marking spots, warm light, shallow focus",
92,9,"갯벌, 세계 5대",611.22,615.87,4.65,P,"그리고 이제, 오늘 영상의 주인공이에요. 서해 갯벌.",서해 갯벌,암전 후 갯벌 광각 드론 등장,"Vast Korean tidal flat at low tide stretching to the horizon, intricate branching mud channel patterns reflecting a pale sky, wide aerial drone shot",
93,9,"갯벌, 세계 5대",615.87,625.73,9.86,I,"갯벌이 생기려면 조건이 세 개 맞아야 해요. 바다가 얕아야 하고, 조차가 커야 하고, 강이 진흙을 계속 실어 와야 해요.",얕은 수심 + 큰 조차 + 강의 퇴적물,세 조건 아이콘이 하나씩 체크,"Three minimal icons in a row, shallow wave line, tall tide arrow, winding river, each lighting up in turn",
94,9,"갯벌, 세계 5대",625.73,633.69,7.96,P,"서해는 이 셋이 다 있어요. 얕고, 9미터 조차에, 한강 금강 영산강이 진흙을 쏟아부어요.","한강, 금강, 영산강",강 하구에서 바다로 퍼지는 퇴적물 항공,"Aerial view of a wide muddy river mouth fanning out into the sea, brown sediment plumes swirling into pale green water, delta patterns",
95,9,"갯벌, 세계 5대",633.69,638.74,5.05,I,그래서 세계에서 갯벌이 큰 곳 다섯 군데 중 하나가 됐어요.,세계 5대 갯벌,세계지도에 5곳 순차 표시,"World map with five coastal regions highlighted in amber, Europe North Sea, US east coast, Canada east coast, Amazon estuary, and Korea west coast",
96,9,"갯벌, 세계 5대",638.74,646.12,7.38,P,"유럽 북해 연안, 미국 동부, 캐나다 동부, 아마존 강 하구, 그리고 한국 서남해안.","북해, 미국 동부, 캐나다 동부, 아마존, 한국","각 지역 갯벌 실사 빠른 몽타주, 마지막 한국","Aerial view of the Wadden Sea tidal flats in Europe, gray-brown mud channels and sandbars under a pale northern sky",
97,9,"갯벌, 세계 5대",646.12,657.03,10.90,I,"다른 네 곳은 대륙 규모 해안선이 만든 거예요. 우리는 10만 제곱킬로미터 안에 2,482제곱킬로미터를 갖고 있어요.","2,482제곱킬로미터",한반도 지도 서남해안 갯벌 갈색 채움,"Map of South Korea with the entire western and southern coastline fringed in rich brown tidal flat areas, glowing softly",
98,9,"갯벌, 세계 5대",657.03,665.39,8.36,I,국토의 2.5퍼센트가 갯벌인 나라입니다. 서울 면적의 네 배가 하루 두 번 물에 잠기고 다시 드러나요.,"국토의 2.5퍼센트, 서울의 4배",서울 면적 네 개와 갯벌 면적 비교 그래픽,"Four identical city outline shapes placed beside a larger brown tidal flat shape for size comparison, minimal",
99,10,갯벌이 하는 일,665.39,676.81,11.43,P,이 갯벌이 하는 일을 볼게요. 서울대 김종성 교수팀이 2017년부터 4년 동안 전국 갯벌 스무 곳의 흙을 파서 분석했어요.,"2017~2020, 전국 갯벌 20곳",연구원들이 장화 신고 갯벌에서 코어 채취,"Marine researchers in rubber boots and waders kneeling on a tidal flat, pushing a clear sediment core tube into dark mud, overcast sky, field science documentary",
100,10,갯벌이 하는 일,676.81,682.41,5.60,P,"진흙 속에 탄소가 얼마나 쌓여 있는지, 매년 얼마나 새로 쌓이는지요.",자막 없음,"채취한 퇴적물 코어 튜브 클로즈업, 층이 보임","Close-up of a clear plastic sediment core tube held up against the sky, dark layered mud visible inside, muddy gloved hands",
101,10,갯벌이 하는 일,682.41,687.53,5.12,I,"그 결과 우리 갯벌에 탄소 1,300만 톤이 묻혀 있고,","탄소 1,300만 톤 저장","갯벌 단면 그래픽, 진흙층 깊숙이 검은 탄소층",Scientific cross-section illustration of tidal flat sediment layers with thick dark carbon-rich strata deep below the surface,
102,10,갯벌이 하는 일,687.53,695.13,7.60,I,매년 26만 톤의 이산화탄소를 새로 빨아들이고 있다는 걸 세계 최초로 밝혔어요.,"연 26만 톤 흡수, 세계 최초",물속 탄소 입자가 진흙으로 가라앉는 애니메이션,"Dark carbon particles drifting down through blue-green water and settling onto a mud surface, soft glow, illustration",
103,10,갯벌이 하는 일,695.13,699.93,4.80,P,국가 단위로 갯벌 탄소를 계산한 게 우리가 처음이에요.,세계 최초,국제 학술지 논문 첫 페이지 느낌,"Close-up of a scientific journal article page with graphs and a map of a coastline, blurred text, resting on a desk",
104,10,갯벌이 하는 일,699.93,709.88,9.95,P,"26만 톤이 어느 정도냐면, 승용차 11만 대가 1년 내내 뿜는 양이에요. 그걸 그냥 진흙이 먹는 거예요.",승용차 11만 대분,"거대한 주차장 항공, 이어서 갯벌로 디졸브","Aerial top-down view of an enormous parking lot packed with tens of thousands of cars in neat rows extending beyond the frame, hazy afternoon light",
105,10,갯벌이 하는 일,709.88,716.18,6.30,I,"인터넷에 20만 대라고 쓴 글도 있는데, 연구 원문은 11만 대예요.","20만 대 아님, 11만 대","20만에 취소선, 11만 강조","Two numeric-style glowing blocks side by side, the larger one crossed out in red, the smaller one highlighted green, no actual digits",
106,10,갯벌이 하는 일,716.18,722.83,6.65,P,게다가 숲이랑 달라요. 숲은 나무가 죽거나 산불이 나면 탄소를 다시 내놓아요.,자막 없음,산불 연기 장면,"Forest fire on a Korean mountainside at night, orange flames and thick smoke rising, silhouettes of pine trees",
107,10,갯벌이 하는 일,722.83,732.00,9.17,P,갯벌은 진흙 속에 수천 년 가둬 둡니다. 그래서 요즘 이걸 블루카본이라고 부르고 전 세계가 주목하고 있어요.,블루카본,"고요한 갯벌 황혼, 블루카본 텍스트","Calm dark tidal flat under deep blue dusk light, thin ribbons of water reflecting the sky, utterly still",
108,10,갯벌이 하는 일,732.00,742.98,10.98,P,"생물은요. 이 갯벌에 2,446종이 살아요. 새만 216종이고 그중 24종이 국제 멸종위기종이에요.","2,446종, 조류 216종, 멸종위기 24종","갯벌 생물 몽타주 시작, 새 실루엣","Group of long-legged shorebirds wading in shallow water on a Korean tidal flat, reflections, soft morning light, telephoto",
109,10,갯벌이 하는 일,742.98,750.35,7.37,P,"게, 낙지, 짱뚱어, 갯지렁이 같은 바닥 생물만 1,349종이에요.","저서동물 1,349종","칠게, 짱뚱어, 낙지 매크로 빠른 컷","Macro shot of a small fiddler crab with one oversized claw on wet Korean mud flat, tiny air holes around it, shallow focus, soft daylight",
110,10,갯벌이 하는 일,750.35,755.38,5.03,P,특히 새요. 서천 앞바다에 유부도라는 작은 섬이 있어요.,서천 유부도,"유부도 위치 지도 줌인, 섬 항공","Small flat island surrounded by vast exposed tidal flats at low tide, seen from a high drone angle, thin channels of water glinting",
111,10,갯벌이 하는 일,755.38,763.74,8.36,P,"동아시아에서 호주까지 오가는 도요물떼새가 63종인데, 그중 24종이 이 섬 하나에 내려앉아요.",63종 중 24종,도요새 무리 실사,"Dense flock of sandpipers and plovers resting on a mud flat, hundreds of small birds packed together, soft overcast light, telephoto",
112,10,갯벌이 하는 일,763.74,766.91,3.16,P,멸종위기종만 17종이에요.,멸종위기 17종,넓적부리도요 한 마리 클로즈업,"Close-up of a tiny spoon-billed sandpiper standing on wet mud, distinctive flattened bill tip, shallow focus, soft light",
113,10,갯벌이 하는 일,766.91,772.75,5.84,I,시베리아나 알래스카에서 번식하고 호주나 뉴질랜드에서 겨울을 나는 새들이에요.,시베리아 → 서해 갯벌 → 호주,"이동 경로 지도, 시베리아에서 호주로",Map of the western Pacific with a long glowing migration arc from Siberia and Alaska down through Korea to Australia and New Zealand,
114,10,갯벌이 하는 일,772.75,779.87,7.12,P,그 사이 수천 킬로미터를 날아오다가 딱 한 번 내려서 먹고 쉬는 데가 우리 서해 갯벌이에요.,자막 없음,지친 도요새가 갯벌에 내려앉아 먹이 찾는 클로즈업,"Close-up of a single exhausted shorebird probing wet mud with its long bill on a Korean tidal flat, soft dawn light, telephoto",
115,10,갯벌이 하는 일,779.87,784.80,4.93,P,우리 갯벌이 없어지면 그 새들은 태평양 위에서 떨어져요.,자막 없음,도요새 수천 마리 이륙,"Thousands of migratory shorebirds lifting off together from a Korean tidal flat at dawn, dense swirling flock against a pale pink and gold sky, wildlife documentary photography",
116,10,갯벌이 하는 일,784.80,793.24,8.44,I,돈으로 따지면요. 정부가 2003년에 계산한 게 1제곱킬로미터당 연 39억 원이에요.,1제곱킬로미터당 연 39억 원,갯벌 위에 1제곱킬로미터 격자 하이라이트,"Aerial view of a tidal flat with a single glowing square grid cell overlaid on the mud, the rest dimmed",
117,10,갯벌이 하는 일,793.24,796.54,3.30,P,전체로 하면 1년에 10조 원.,연 10조 원,"어민들이 조개 채취하는 실사, 카운터","Fisherwomen in wide hats harvesting clams and octopus on a glistening Korean mud flat, baskets and small sleds, late afternoon light",
118,10,갯벌이 하는 일,796.54,804.30,7.76,I,"수산물, 정화, 재해 방지, 관광을 다 합친 값이에요. 그냥 거기 있기만 해도요.",수산물 / 정화 / 방재 / 관광,"네 아이콘, 이어서 갯벌 노을","Four minimal icons in a row, fish, water filter drop, shield with wave, camera, glowing softly",
119,11,"유네스코, 두 번의 인정",804.30,811.77,7.47,I,그래서 2021년 7월에 유네스코가 한국의 갯벌을 세계자연유산으로 올렸어요.,"2021년 7월 26일, 세계자연유산",서남해안 지도에 4곳 금색 점등,"Map of the southwestern coast of Korea with four tidal flat regions lighting up in gold one after another, elegant heritage emblem style",
120,11,"유네스코, 두 번의 인정",811.77,816.57,4.80,P,"서천, 고창, 신안, 보성-순천 네 곳이었어요.","서천, 고창, 신안, 보성-순천",네 지역 갯벌 실사 빠른 몽타주,"Aerial view of Suncheon Bay tidal flat with circular reed islands and winding channels at sunset, iconic Korean wetland",
121,11,"유네스코, 두 번의 인정",816.57,822.12,5.55,P,제주 화산섬 이후 14년 만에 나온 우리나라 두 번째 자연유산이에요.,두 번째 자연유산,제주 성산일출봉과 갯벌 나란히,"Diptych, left the volcanic tuff cone of Seongsan Ilchulbong on Jeju at sunrise, right a golden tidal flat, both in warm light",
122,11,"유네스코, 두 번의 인정",822.12,830.61,8.49,P,"그런데 그때 유네스코가 조건을 하나 달았어요. 이거 좋은데, 범위가 너무 좁다. 더 넓혀서 다시 오라고.",범위를 넓혀서 다시 오라,결정문 문서에 하이라이트,"Close-up of an official document page with a highlighted paragraph, formal serif typography blurred, a fountain pen resting beside",
123,11,"유네스코, 두 번의 인정",830.61,833.30,2.69,P,그래서 5년을 준비했어요.,5년의 준비,"현장 실사, 조사원들이 갯벌 걷는 모습","Group of surveyors in field vests walking across a wide tidal flat carrying clipboards and tripods, overcast sky, distant horizon",
124,11,"유네스코, 두 번의 인정",833.30,842.27,8.97,P,"그리고 올해, 2026년 7월 25일에 부산에서 열린 제48차 세계유산위원회에서","2026년 7월 25일, 부산",부산 해안 스카이라인과 회의장 외관,"Busan coastal skyline at dusk with a large modern convention center lit up along the waterfront, calm sea",
125,11,"유네스코, 두 번의 인정",842.27,845.63,3.36,P,범위를 넓히는 게 확정됐습니다.,"제48차 세계유산위원회, 확대 등재 확정","회의장, 의사봉 내리는 순간","Large international conference hall with rows of delegates at curved desks, country name plates, a giant screen at the front, a gavel coming down at the podium, formal lighting",
126,11,"유네스코, 두 번의 인정",845.63,855.09,9.46,I,"여수, 고흥, 무안, 서산 갯벌이 추가돼서 6개 구성요소, 유산구역 15만 6천 헥타르가 됐어요.","6개 구성요소, 15만 6,386헥타르",지도에서 4곳이 6개 구성요소로 확장,"The same southwestern Korea map, golden heritage zones expanding outward and merging into six larger glowing regions",
127,11,"유네스코, 두 번의 인정",855.09,863.34,8.25,P,우리나라에서 열린 회의에서 우리 갯벌이 넓어진 거예요. 그 회의장에 앉아 있던 각국 대표들이 손을 들어서요.,"부산에서, 우리 손으로","회의장 박수, 대표단 미소","Delegates in a conference hall applauding, some standing, warm stage lighting, blurred flags in the background",
128,12,"반전 하나, 편애받은 땅이 아니었다",863.34,873.59,10.25,P,"여기까지 들으면 진짜 신이 편애한 것 같죠. 심은 숲, 깨끗한 물, 조용한 자리, 세 가지 바다, 세계 최고 갯벌.",자막 없음,앞선 하이라이트 4컷 빠른 재생,"Four-panel grid of Korean landscapes, forest, spring water, deep sea, tidal flat, all in warm saturated light",
129,12,"반전 하나, 편애받은 땅이 아니었다",873.59,875.90,2.31,P,그런데 이제 그 반전이에요.,그런데,화면이 급격히 차가운 톤으로 빠짐,"Four-panel grid of Korean landscapes, forest, spring water, deep sea, tidal flat, colors draining to cold desaturated blue-gray, cinematic mood shift",
130,12,"반전 하나, 편애받은 땅이 아니었다",875.90,882.22,6.32,P,이 땅은 편애받은 땅이 아니에요. 아까 산림 얘기할 때 기억해 두라고 했잖아요.,기억하시죠,"컷 회상, 민둥산 흑백","Black and white barren Korean hillside from the 1950s, faint and grainy, slowly fading in from black",
131,12,"반전 하나, 편애받은 땅이 아니었다",882.22,889.41,7.18,P,우리 숲은 신이 준 게 아니라 우리 부모님 세대가 65억 그루를 손으로 심어서 만든 거예요.,"65억 그루, 손으로 심은 숲",노인의 손에 든 묘목 클로즈업,"Close-up of weathered elderly Korean hands gently holding a small pine seedling with soil on the roots, soft overcast light, shallow depth of field",
132,12,"반전 하나, 편애받은 땅이 아니었다",889.41,894.51,5.10,P,"원래 있던 걸 지킨 게 아니라, 다 잃은 다음에 다시 만든 거예요.",다 잃은 다음에 다시 만든,그 손이 심은 자리에 자란 큰 소나무,"Tall mature pine tree on a green hillside, an elderly person standing small beside its trunk looking up, soft light",
133,12,"반전 하나, 편애받은 땅이 아니었다",894.51,898.21,3.70,P,그리고 갯벌은요. 이게 더 아픈 얘기예요.,자막 없음,갯벌 위 어두운 구름,"Dark storm clouds gathering low over a wide gray tidal flat, a thin line of light at the horizon, ominous",
134,12,"반전 하나, 편애받은 땅이 아니었다",898.21,910.11,11.90,I,1987년부터 1997년까지 딱 10년 동안 간척 사업으로 갯벌 810제곱킬로미터가 사라졌어요.,"1987~1997, 810제곱킬로미터 소멸",서해안 지도에 사라진 갯벌 붉게 표시,"Map of Korea's west coast with large red hatched zones marking vanished tidal flats and only a thin brown fringe remaining, stark contrast",
135,12,"반전 하나, 편애받은 땅이 아니었다",910.11,915.32,5.22,I,지금 남은 갯벌의 3분의 1이 10년 만에 없어진 거예요.,3분의 1,갯벌 면적 파이 그래픽에서 3분의 1이 떨어져 나감,"Circular brown shape with one third breaking away and crumbling into red fragments, minimal",
136,12,"반전 하나, 편애받은 땅이 아니었다",915.32,925.52,10.20,P,"새만금이에요. 1991년에 첫 삽을 떠서 2010년에 끝났어요. 19년, 2조 9천억 원.","새만금, 1991~2010, 19년, 2조 9천억 원","새만금 공사 현장, 덤프트럭과 준설선","Massive coastal construction site with dump trucks and dredgers piling rock into the sea, gray water, industrial haze",
137,12,"반전 하나, 편애받은 땅이 아니었다",925.52,933.96,8.44,P,길이 33.9킬로미터. 네덜란드 방조제를 제치고 세계에서 가장 긴 방조제로 기네스북에 올랐어요.,"33.9킬로미터, 세계 최장","새만금 방조제 항공, 직선이 수평선까지","Aerial view of the Saemangeum seawall, a perfectly straight concrete line dividing brown dry reclaimed land from the open gray sea, stretching to the horizon, overcast sky",
138,12,"반전 하나, 편애받은 땅이 아니었다",933.96,938.57,4.61,P,그 안에 있던 연안습지가 401제곱킬로미터예요.,연안습지 401제곱킬로미터,"매립지 내부, 마른 진흙과 죽은 조개껍데기","Cracked dry mud of a former tidal flat behind a seawall, scattered bleached clam shells, no water in sight, harsh flat light, somber",
139,12,"반전 하나, 편애받은 땅이 아니었다",938.57,946.21,7.63,I,지금 유네스코에 올라간 갯벌 유산구역의 4분의 1이 넘는 크기가 한 사업으로 없어진 거예요.,유산구역의 4분의 1 이상,유산구역 면적과 새만금 면적 비교 그래픽,"Large golden shape beside a red shape about a quarter of its size, simple area comparison, minimal",
140,12,"반전 하나, 편애받은 땅이 아니었다",946.21,954.54,8.33,P,시화호도 같은 시기예요. 아까 조력발전소 얘기했잖아요. 그거 원래 갯벌 막아서 만든 호수예요.,시화호,"시화호 방조제 항공, 호수와 바다 반반","Wide aerial view of Sihwa Lake seawall at dusk, tidal gates open with water flowing through, half the frame lake and half sea, contemplative mood",
141,12,"반전 하나, 편애받은 땅이 아니었다",954.54,965.30,10.76,P,"물이 썩어서 결국 바닷물을 다시 들여야 했고, 그 과정에서 발전소가 나온 거예요. 성공 사례처럼 보이지만 출발은 실패였어요.",실패에서 나온 성공,오염 시절 사진에서 현재 발전소로 디졸브,"Split image, left a murky polluted lake shoreline in grainy 1990s tones, right the same shoreline today with clear water and a tidal power plant, seamless center",
142,12,"반전 하나, 편애받은 땅이 아니었다",965.30,973.00,7.70,I,네이처에 실린 연구를 보면 황해 갯벌은 지난 30년간 28퍼센트가 줄었어요.,황해 갯벌 30년간 28퍼센트 감소,위성 사진 1984 대 2016 비교,"Two satellite images of the same Yellow Sea coastline side by side, 1980s with wide brown tidal flats and 2010s with straight seawalls and reclaimed land",
143,12,"반전 하나, 편애받은 땅이 아니었다",973.00,979.94,6.94,I,전 세계 갯벌이 16퍼센트 줄었는데 우리 바다는 거의 두 배 속도로 사라진 거예요.,세계 16퍼센트 / 황해 28퍼센트,막대그래프 16 대 28,"Two downward-pointing bar shapes, one modest and gray, one nearly twice as long and red, minimal",
144,12,"반전 하나, 편애받은 땅이 아니었다",979.94,984.39,4.45,P,우리가 지금 자랑하는 유네스코 갯벌은 그 나머지예요.,그 나머지,"남은 갯벌 실사, 좁아진 해안선","Narrow strip of tidal flat squeezed between a concrete seawall and the sea, viewed from above, muted colors",
145,12,"반전 하나, 편애받은 땅이 아니었다",984.39,987.05,2.66,P,간척은 원래 오래된 일이에요.,간척,강화도 옛 제방과 논 항공,"Aerial view of old earthen dikes and rice paddies along the Ganghwa Island coast, patchwork fields meeting the sea, soft light",
146,12,"반전 하나, 편애받은 땅이 아니었다",987.05,996.50,9.44,P,고려사에 1256년 강화도에서 둑을 쌓아 땅을 만들었다는 기록이 있어요. 800년 전부터 했어요.,"1256년 강화도, 800년 전",고려사 고문서 이미지,"Ancient Korean manuscript page with vertical brush calligraphy on aged hanji paper, soft candlelight, shallow focus",
147,12,"반전 하나, 편애받은 땅이 아니었다",996.50,1003.75,7.25,P,"다만 그때는 삽으로 했고, 1990년대엔 중장비로 했다는 게 다른 거예요.",삽 / 중장비,삽 든 농부 실루엣과 대형 굴착기 대비,"Split image, left a lone farmer with a wooden shovel on an earthen dike in sepia, right a giant modern excavator on a concrete seawall, stark contrast",
148,13,"반전 둘, 아직 조용한 땅",1003.75,1014.16,10.41,I,"물도 그래요. 비는 세계 평균의 1.6배 오는데, 사람이 많아서 1인당으로 나누면 세계 평균의 17퍼센트밖에 안 돼요.",1인당 강수량 세계 평균 17퍼센트,빗방울 그래픽이 인구 아이콘 위로 나뉘어 작아짐,"Large water drop shape dividing into many tiny droplets over a dense crowd of small human icons, minimal",
149,13,"반전 둘, 아직 조용한 땅",1014.16,1022.44,8.28,I,그리고 그 비의 절반 이상이 여름 두 달에 몰려서 와요. 겨울엔 연간 강수량의 10분의 1도 안 돼요.,"여름 집중, 겨울 10분의 1 미만",월별 강수량 그래프가 여름에만 치솟음,"Twelve vertical bars with two towering in the middle and the rest tiny, blue gradient, minimal bar chart shape",
150,13,"반전 둘, 아직 조용한 땅",1022.44,1026.10,3.65,P,유엔 기준으로 우리는 물 스트레스 국가예요.,물 스트레스 국가,말라붙은 저수지 바닥,"Cracked dry reservoir bed with a stranded small boat, receding water line visible on the far bank, harsh midday sun",
151,13,"반전 둘, 아직 조용한 땅",1026.10,1030.50,4.41,I,지진도요. 아까 판 안쪽이라 조용하다고 했죠.,지진,"판 경계 지도 회상, 한반도 판 내부","Tectonic plate map of East Asia, the Korean Peninsula sitting inside the Eurasian plate, cool calm blue tones",
152,13,"반전 둘, 아직 조용한 땅",1030.50,1038.36,7.85,I,그런데 지난 8월에 학자들이 이렇게 경고했어요. 판 안쪽이라는 게 바로 긴장해야 할 이유라고.,판 내부가 긴장해야 할 이유,같은 지도가 경고색으로 바뀜,"Tectonic map of East Asia, the Korean Peninsula inside the Eurasian plate pulsing with a faint orange warning glow",
153,13,"반전 둘, 아직 조용한 땅",1038.36,1047.64,9.28,I,"서쪽에서 인도판이 밀고, 동쪽에서 태평양판이 밀고, 그 힘이 한반도 안에 있는 오래된 단층에 조금씩 쌓이고 있대요.",판 내부 응력 축적,"양쪽 화살표가 한반도를 압박, 단층선 발광","Tectonic map of East Asia with large arrows pressing inward on the Korean Peninsula from the Indian plate in the west and the Pacific plate in the east, faults glowing faintly orange",
154,13,"반전 둘, 아직 조용한 땅",1047.64,1050.97,3.34,P,"경주, 포항 지진이 그 신호였어요.","경주 2016, 포항 2017","지진계 그래프, 균열 난 건물 벽","Cracked exterior wall of a Korean apartment building with fallen bricks on the ground, overcast light, aftermath of an earthquake",
155,13,"반전 둘, 아직 조용한 땅",1050.97,1055.87,4.90,P,"그러니까 이 땅은 조용한 땅이 아니라, 아직 조용한 땅이에요.","조용한 땅이 아니라, 아직 조용한 땅",검은 화면에 문장 하나만,"Pure black background with a single thin white horizontal line of light in the center, minimalist, cinematic void, subtle film grain",
156,14,클로징,1055.87,1064.79,8.92,P,"그러니까 이 땅의 진짜 가치는 이거예요. 신이 준 게 아니라, 망가졌던 걸 다시 살려낸 기록이 있는 땅이라는 거.",신이 준 게 아니라 살려낸 땅,"따뜻한 톤 복귀, 숲과 갯벌 해안선 골든아워 드론","Golden hour aerial shot where dense green Korean forest slopes meet a shimmering tidal flat coastline, warm hopeful light, cinematic wide shot",
157,14,클로징,1064.79,1075.13,10.33,P,"숲을 없던 데서 만들어 봤고, 썩은 호수를 발전소로 바꿔 봤고, 갯벌도 반이 사라진 뒤에 남은 걸 세계유산으로 지켜냈어요.",숲 / 시화호 / 갯벌,"숲, 시화호, 갯벌 3컷 따뜻하게 재등장","Triptych of Korean landscapes in warm light, a dense pine forest, a tidal power seawall at sunset, and a golden tidal flat with birds, unified color grade",
158,14,클로징,1075.13,1080.19,5.06,I,"그 세 가지를 다 해본 나라, 저는 다른 나라를 못 찾았어요.",자막 없음,세계지도 위 한국만 따뜻한 빛,"World map in soft gray with South Korea alone glowing warm gold, gentle light spreading outward",
159,14,클로징,1080.19,1084.50,4.31,P,그 미국 친구한테 이제 대답할 수 있을 것 같아요.,자막 없음,카페 지도 장면 복귀,"Same wooden cafe table with the paper map of South Korea, now a Korean hand pointing at the west coast, two coffee cups, warm late afternoon window light, shallow depth of field",
160,14,클로징,1084.50,1093.57,9.07,P,"작은데 많이 들어 있는 게 아니라, 작으니까 하나도 버리지 않고 다 살려 쓴 거라고요. 그리고 아직 다 살린 건 아니라고요.",하나도 버리지 않고 다 살려 쓴 땅,"지도 위 손이 갯벌 지역을 가리키고, 창밖 노을","Close-up of a Korean hand resting on a paper map of the west coast of Korea, sunset light through a cafe window casting long warm shadows",
161,14,클로징,1093.57,1103.24,9.67,P,여러분은 우리 땅에서 가장 아까운 게 뭐라고 생각하세요. 댓글로 남겨 주시면 다음 영상에서 그 주제로 찾아보겠습니다.,댓글로 알려주세요,"댓글 아이콘 모션, 배경은 갯벌 노을","Lone fisherwoman silhouette pushing a small sled across glistening Korean mud flats at sunset, long reflection, orange and purple sky",
162,14,클로징,1103.24,1110.91,7.67,P,"다음 영상에서는 이 갯벌 810제곱킬로미터가 사라지던 10년 동안 무슨 일이 있었는지,",다음 영상,"새만금 공사 아카이브 느낌, 트럭 행렬","Long line of dump trucks driving along an unfinished seawall into the sea at dusk, construction dust, 1990s documentary feel",
163,14,클로징,1110.91,1114.29,3.37,P,새만금의 진짜 이야기를 다뤄 볼게요.,다음 영상: 새만금의 진짜 이야기,"다음 영상 예고 카드, 새만금 방조제 황혼","Aerial view of the Saemangeum seawall at dusk with dramatic clouds, moody teaser atmosphere, space left on both sides for overlay elements, cinematic wide shot",
164,14,클로징,1114.29,1120.63,6.35,P,구독하시면 놓치지 않고 보실 수 있어요. 오늘도 봐 주셔서 감사합니다.,구독,"엔드 스크린, 구독 버튼 모션","Soft-focus golden tidal flat at dusk with a calm sky, large empty areas left for end-screen overlays, warm and quiet",
